Тип				Ноутбук
Диагональ экрана		36,1 см (14,2")
Разрешение экрана		3024 х 1964
Сенсорный экран			нет
Поверхность экрана		глянцевая
Характеристики экрана		120 Гц mini-LED
Операционная система		macOS
Архитектура операционной системы	64-битная
Объем SSD			512 ГБ
Объем жестких дисков		Без жесткого диска
Оптический привод		Без оптического привода
Оперативная память (ОЗУ)	16 ГБ
Производитель процессора	Apple
Модель процессора		M1 Pro (8c)
Количество ядер процессора	8
Производительность ЦП		High End
Графический процессор		M1 Pro GPU (14C)
Объем видеопамяти		Разделяемая память (shared memory)
Производительность видеокарты	High End
Wi-Fi				Wi-Fi 6 (802.11ax)
Разъемы USB Type-C		нет
Разъемы USB 3.1 Gen2 (USB 3.1 Type-A)	нет
Разъемы USB 3.1 Gen1 (USB 3.0 Type-A)	нет
Разъемы USB 2.0 (Type-A)		нет
Подключение монитора (внешнее)		HDMI
Разъемы Thunderbolt		3x Thunderbolt 4
Bluetooth			5.0
Мобильный интернет		нет
Веб-камера			1,2 Мп
Подсветка клавиатуры		да
Разъем док-станции		нет
Вес (прибл.)			1,60 кг
Цвет				космический серый
Макс. емкость батареи (прибл.)	17 часов
Тип оперативной памяти		LPDDR5
