Формат печати		А4
Технология печати		Лазерная печать
Цветная печать			да
Функция сканирования		да
Функция копирования		да
Факс				нет
Разрешение печати (цвет)	1200 x 1200 dpi
Разрешение печати (ч/б)		1200 x 1200 dpi
Разрешение сканера		600 x 600 dpi
Разъем USB			да
Разъем Ethernet			да
Wi-Fi				нет
Слот для карты памяти		да
Скорость цветной печати		26 стр/мин
Скорость черно-белой печати	26 стр/мин
Двусторонняя печать		да
Автоподача документов		да
Емкость подачи			300 листов
Сканировать в почту		да
Сканировать по сети		да
