Класс энергопотребления		G
HDR				DisplayHDR 400
Диагональ экрана		68,6 см (27")
Изогнутый			нет
Поверхность экрана		матовая
Разрешение экрана		3840 x 2160 (UHD)
Время отклика			5 мс
Адаптивная синхронизация	Adaptive Sync / FreeSync
Макс. частота обновления	60 Гц
Яркость (кд/м²)			400 кд/м²
Контрастность			1200:1
Светодиодная подсветка		да
Тип матрицы			Матрица IPS
Соотношение сторон		16:9
Уголы обзора			г/в: 178º / 178º
3D				нет
Сенсорный экран			нет
Вход VGA			нет
DVI вход			нет
Вход HDMI			2x HDMI
Вход DisplayPort		1x DisplayPort
Вход miniDisplayPort		нет
Вход Thunderbolt		нет
Вход USB Type-C			нет
USB-хаб (выход)			нет
Динамики			нет
Возможно настенное крепление	VESA 100 x 100 мм
Регулировка по высоте		да
Регулировка наклона (Tilt)	да
Поворотная подставка (Swivel)	нет
Поворот на 90° (портретный режим)	нет
Цвет				черный
Особенности			Тонкая рамка ,Встроенный KVM-переключатель
