Класс энергопотребления	G
Потребление энергии в кВт·ч для SDR согласно (ЕС) 2019/2013	32 кВт·ч/1000h
HDR			DisplayHDR 600
Диагональ экрана	68,4 см (27")
Изогнутый		да
Поверхность экрана	матовая
Разрешение экрана	2560 x 1440 (WQHD)
Время отклика		1 мс
Адаптивная синхронизация	FreeSync Premium
Совместимость с G-SYNC®		
Макс. частота обновления	240 Гц				
Яркость (кд/м²)			350 кд/м²
Контрастность		2500:1
Светодиодная подсветка	да
Тип матрицы		Матрица VA
Соотношение сторон	16:9
Уголы обзора		г/в: 178º / 178º
3D			нет
Сенсорный экран		нет
Вход VGA		нет
DVI вход		нет
Вход HDMI		1x HDMI
Вход DisplayPort	2x DisplayPort
Вход miniDisplayPort	нет
Вход Thunderbolt	нет
Вход USB Type-C		нет
USB-хаб (выход)		2x USB 3.1 Gen1
Динамики		нет
Возможно настенное крепление	VESA 100 x 100 мм
Регулировка по высоте	да
Регулировка наклона (Tilt)	да
Поворотная подставка (Swivel)	да
Поворот на 90° (портретный режим)	да
Цвет			черный
Особенности		Режим картинка в картинке
